Timestamp,Probe 1,Probe 2,Probe 3,Probe 4
2020-06-21 14:07:06.243346,11826,82,11826,11826
2020-06-21 14:07:07.412930,11826,82,11826,11826
2020-06-21 14:07:08.192586,11826,82,11826,11826
2020-06-21 14:07:09.362164,11826,82,11826,11826
2020-06-21 14:07:10.141788,11826,82,11826,11826
2020-06-21 14:07:11.311230,11826,82,11826,11826
2020-06-21 14:07:12.091116,11826,86,11826,11826
2020-06-21 14:07:13.262662,11826,86,11826,11826
2020-06-21 14:07:14.439803,11826,90,11826,11826
2020-06-21 14:07:15.224143,11826,90,11826,11826
2020-06-21 14:07:16.400399,11826,91,11826,11826
2020-06-21 14:07:17.184363,11826,93,11826,11826
2020-06-21 14:07:18.751679,11826,93,11826,11826
2020-06-21 14:07:19.143247,11826,93,11826,11826
2020-06-21 14:07:20.318375,11826,93,11826,11826
2020-06-21 14:07:21.492968,11826,95,11826,11826
2020-06-21 14:07:22.275910,11826,95,11826,11826
2020-06-21 14:07:23.450011,11826,95,11826,11826
2020-06-21 14:07:24.232598,11826,95,11826,11826
2020-06-21 14:07:25.406292,11826,95,11826,11826
2020-06-21 14:07:26.188588,11826,93,11826,11826
2020-06-21 14:07:27.361980,11826,93,11826,11826
2020-06-21 14:07:28.534949,11826,91,11826,11826
2020-06-21 14:07:29.316916,11826,91,11826,11826
2020-06-21 14:07:30.489791,11826,91,11826,11826
2020-06-21 14:07:31.271177,11826,91,11826,11826
2020-06-21 14:07:32.443906,11826,90,11826,11826
2020-06-21 14:07:33.225676,11826,90,11826,11826
2020-06-21 14:07:34.397928,11826,90,11826,11826
2020-06-21 14:07:35.179364,11826,88,11826,11826
2020-06-21 14:07:36.351353,11826,88,11826,11826
2020-06-21 14:07:37.523336,11826,88,11826,11826
2020-06-21 14:07:38.304550,11826,88,11826,11826
2020-06-21 14:07:39.476293,11826,88,11826,11826
2020-06-21 14:07:40.257504,11826,88,11826,11826
2020-06-21 14:07:41.429100,11826,86,11826,11826
2020-06-21 14:07:42.210063,11826,86,11826,11826
2020-06-21 14:07:43.381606,11826,86,11826,11826
2020-06-21 14:07:44.552952,11826,86,11826,11826
2020-06-21 14:07:45.333819,11826,86,11826,11826
2020-06-21 14:07:46.504995,11826,86,11826,11826
2020-06-21 14:07:47.285786,11826,86,11826,11826
2020-06-21 14:07:48.457059,11826,84,11826,11826
2020-06-21 14:07:49.237936,11826,84,11826,11826
2020-06-21 14:07:50.409013,11826,84,11826,11826
2020-06-21 14:07:51.189740,11826,84,11826,11826
2020-06-21 14:07:52.360775,11826,90,11826,11826
2020-06-21 14:07:53.531690,11826,91,11826,11826
2020-06-21 14:07:54.312372,11826,91,11826,11826
2020-06-21 14:07:55.483384,11826,91,11826,11826
